,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
92,Reriutaba,-4.14,-40.58,91.02,37,100,10.04
93,Sept-Iles,50.2,-66.38,39.99,76,75,4.7
94,Sangmelima,2.93,11.98,68.99,93,38,2.04
95,Antiguo Morelos,22.55,-99.08,80.01,63,74,4
96,Honningsvag,70.98,25.97,33.8,69,75,26.4
97,Piney Green,35.09,-78.48,62.6,31,1,4.7
98,Verkhoshizhemye,58.01,49.1,30.65,95,100,16.22
99,Mbekenyera,-10,38.98,70.92,90,0,3.27
100,Poum,41.28,20.71,59,77,75,21.92
101,Georgetown,6.8,-58.16,84.2,74,20,4.7
102,Pisco,-13.71,-76.2,69.01,80,20,15.99
103,Beloha,-25.17,45.06,70.92,67,0,4.09
104,Xinyu,27.8,114.93,59.25,54,0,3.06
105,San Patricio,-26.98,-56.83,78.62,75,100,10.42
106,Victoria,5.28,115.24,80.6,83,75,2.24
107,Khatanga,71.98,102.47,-12.43,95,98,11.68
108,Avarua,-21.21,-159.78,73.4,53,100,8.05
109,Florence,34.2,-79.77,64,25,1,5.7
110,Tecoanapa,16.99,-99.26,87.8,70,40,6.93
111,Mehamn,71.03,27.85,35.6,78,75,27.51
112,Aden,12.79,45.03,81.84,68,88,2.75
113,Torbay,47.66,-52.73,45,93,90,17.22
114,Leningradskiy,69.38,178.42,17.08,78,64,2.06
115,Sao Joao da Barra,-21.64,-41.05,84.2,62,37,18.34
116,Jamestown,-33.21,138.6,49.35,79,3,12.28
117,Alofi,-19.06,-169.92,71.78,66,100,14.58
118,Port Elizabeth,39.31,-74.98,55,34,1,9.17
119,Altus,34.64,-99.33,75.2,31,1,17.22
120,Hamilton,43.26,-79.87,43,55,75,8.05
121,Ejura,7.38,-1.37,74.7,93,100,3.18
122,Vaini,15.34,74.49,68.11,92,0,2.13
123,Lorengau,-2.02,147.27,82.51,70,100,9.89
124,Arlit,18.74,7.39,88.43,11,0,7.85
125,Chebenki,51.93,55.71,19.4,92,0,2.24
126,Mokobeng,-23,27.67,81.05,22,0,4.21
127,Yar-Sale,66.83,70.83,2.23,87,0,7.43
128,La Rioja,-29.41,-66.86,71.22,56,52,8.88
129,Bathsheba,13.22,-59.52,84.2,74,75,14.99
130,Moussoro,13.64,16.49,87.93,11,0,9.26
131,Muros,42.77,-9.06,64,93,75,16.11
132,Broome,52.47,1.45,50,100,20,5.82
133,Pevek,69.7,170.27,11.8,80,12,13.35
134,Jilib,0.49,42.79,77.86,84,46,5.23
135,Te Anau,-45.41,167.72,51.3,90,100,4.5
136,Rawson,-43.3,-65.11,63.81,43,99,19.26
137,Shelburne,44.08,-80.2,39.99,74,90,11.41
138,Geraldton,49.72,-86.95,32,68,90,8.05
139,Sinnamary,5.38,-52.96,82.51,80,37,15.7
140,Guarapari,-20.67,-40.5,80.6,69,59,17.22
141,Kholtoson,50.3,103.31,22.82,60,93,2.15
142,Gemena,3.25,19.78,71.87,92,79,0.81
143,Thompson,55.74,-97.86,24.8,85,75,6.93
144,Gloversville,43.05,-74.34,48.99,52,90,12.75
145,Kalianget,-7.74,113.68,81.37,74,2,9.31
146,Qasigiannguit,68.82,-51.19,21.2,53,35,1.12
147,Ust-Uda,54.17,103.03,22.57,64,92,9.93
148,Taltal,-25.41,-70.49,59.49,70,87,6.24
149,Faya,18.39,42.45,64.4,82,21,7.81
150,Pinawa,50.15,-95.88,32,100,100,2.93
151,Lavrentiya,65.58,-170.99,24.57,80,0,6.17
152,Puerto Escondido,15.86,-97.07,87.8,70,40,3.36
153,Richards Bay,-28.77,32.06,71.96,77,100,22.35
154,Constitucion,23.99,-104.67,73.4,43,20,4.7
155,Bethel,60.79,-161.76,21.2,73,1,19.46
156,Arkadak,51.94,43.49,29.64,52,51,13.62
157,Doha,25.29,51.53,82.4,58,0,5.82
158,Cascais,38.7,-9.42,63,88,40,5.82
159,Joshimath,30.57,79.57,39.9,50,0,6.4
160,Imbituba,-28.24,-48.67,75.2,78,75,11.41
161,Vestmanna,62.16,-7.17,42.8,60,100,17.22
162,Montepuez,-13.13,39,74.39,78,0,6.38
163,Meadow Lake,54.13,-108.44,28.4,79,90,12.75
164,Oistins,13.07,-59.53,84.2,74,75,14.99
165,Santa Flavia,-51.55,-72.35,39.97,64,65,22.06
166,Tasiilaq,65.61,-37.64,32,87,80,3.83
167,Pierre,44.37,-100.35,44.01,87,90,19.46
168,San Quintin,17.54,120.52,73.54,90,100,3.98
169,Kavieng,-2.57,150.8,81.95,76,100,9.31
170,Ilhabela,-23.78,-45.36,79.41,80,0,11.99
171,Tuatapere,-46.13,167.69,69.01,41,65,5.01
172,Alberton,-26.25,28.13,75.2,33,7,6.93
173,Kaitangata,-46.28,169.85,66.99,54,36,4
174,Naze,5.43,7.07,77,94,20,3.22
175,Vostok,46.45,135.83,11.93,85,0,3.85
176,Dingle,11,122.67,74.59,89,50,2.84
177,Mahebourg,-20.41,57.7,73.99,83,40,16.11
178,Namibe,-15.19,12.15,72.28,86,71,7.63
179,Talnakh,69.49,88.39,-0.41,84,75,13.42
180,Susanville,40.42,-120.65,60.8,17,1,4.34
181,Arrifes,37.77,-25.7,66.2,77,75,5.82
182,Fomboni,-12.28,43.74,80.2,79,0,6.96
183,Vilhena,-12.74,-60.15,86,51,40,8.05
184,Longyearbyen,78.22,15.63,14,72,20,13.87
185,Nicoya,10.15,-85.45,91.4,55,20,12.75
186,Port Hardy,50.7,-127.42,50,93,75,6.93
187,Airai,-8.93,125.41,67.35,51,47,3.02
188,Manaus,-3.13,-59.98,84.2,66,40,10.29
189,Coihaique,-45.58,-72.07,46.4,70,90,8.05
190,Half Moon Bay,37.46,-122.43,80.01,55,1,4.7
191,Fukue,35.03,136.69,59,62,20,14.99
192,Fayaoue,-20.65,166.53,73.45,75,13,19.17
193,Fenoarivo,-18.93,47.44,60.8,87,20,6.93
194,Bambous Virieux,-20.34,57.76,73.99,83,40,16.11
195,Mnogovershinnyy,53.94,139.92,28.89,98,100,8.59
196,Imphal,24.8,93.94,58.73,97,2,3.96
197,Podyuga,61.09,40.86,37.26,97,100,8.66
198,Parrita,9.52,-84.33,82.4,69,75,12.75
199,Amazar,53.86,120.88,17.26,84,100,1.63
200,Castro,-42.48,-73.76,53.6,76,75,14.99
201,Egvekinot,66.32,-179.17,9.1,97,100,4.29
202,Bafoulabe,13.81,-10.83,89.2,18,51,9.28
203,Pangnirtung,66.15,-65.72,19.4,79,20,3.36
204,Vaitape,-16.52,-151.75,81.37,80,32,11.7
205,Winslow,51.94,-0.88,50,100,75,1.12
206,Cockburn Town,21.46,-71.14,81.52,69,1,12.1
207,Gambo,4.65,22.26,69.78,98,31,1.21
208,Chapais,49.78,-74.86,30.2,92,90,5.82
209,Srednekolymsk,67.46,153.71,5.59,93,89,3.09
210,Hovd,63.83,10.7,32,79,0,5.82
211,Coquimbo,-29.95,-71.34,60.8,67,75,12.75
212,Kysyl-Syr,63.9,122.77,9.12,97,100,5.5
213,Ilulissat,69.22,-51.1,21.2,53,35,1.12
214,Kuching,1.56,110.34,75.2,100,75,2.24
215,Gazanjyk,39.24,55.52,39.42,47,0,8.77
216,Souillac,45.6,-0.6,53.6,93,75,8.05
217,Mama,20.48,-89.36,84.2,58,75,12.75
218,Clemencia,10.57,-75.33,89.6,66,40,11.41
219,Ambanja,-13.68,48.45,74.57,93,14,5.01
220,Laguna,16.17,-88.94,86,70,40,4.7
221,Northampton,-28.35,114.63,51.8,93,0,8.05
222,Vila Velha,-3.71,-38.6,82.4,69,40,13.87
223,Kotelnich,58.31,48.34,31.48,96,100,17.54
224,Portland,43.66,-70.25,51.01,45,75,6.93
225,Fereydun Kenar,36.69,52.52,53.6,76,54,3.15
226,Fort Nelson,58.81,-122.69,26.6,86,75,4.7
227,Mogadishu,2.04,45.34,80.73,82,38,14.99
228,Khromtau,50.26,58.44,24.85,63,0,15.95
229,Pyaozerskiy,65.83,31.17,25.3,83,17,18.68
230,Huittinen,61.18,22.7,27,100,100,3.36
231,Yulara,-25.24,130.99,60.8,25,0,8.05
232,Tura,64.27,100.22,-6.24,86,99,4.79
233,Osoyoos,49.03,-119.47,48,49,90,4.7
234,Havelock,34.88,-76.9,63,44,1,6.93
235,Urucara,-2.54,-57.76,93.78,41,26,2.64
236,Abu Samrah,35.3,37.18,59.88,50,0,6.13
237,Henties Bay,-22.12,14.28,81.03,17,63,7.34
238,Roald,62.58,6.12,39.2,51,0,19.46
239,Guerrero Negro,27.97,-114.04,79.7,28,100,10.74
240,Saldanha,41.42,-6.55,53.92,88,92,16.28
241,Khorixas,-20.37,14.96,84.18,11,98,19.35
242,Kununurra,-15.77,128.74,78.8,88,0,2.24
243,Bireun,5.2,96.7,67.8,76,100,3.89
244,Urut,41.07,44.4,26.6,86,0,2.24
245,Kahama,-3.83,32.6,71.85,31,23,4.92
246,Noyabrsk,63.2,75.45,7.07,98,73,5.86
247,Norman Wells,65.28,-126.83,17.6,92,75,2.24
248,Sur,22.57,59.53,78.22,74,13,6.82
249,Eston,51.15,-108.75,33.01,60,90,19.46
250,Sabang,13.8,121.11,77,97,69,1.01
251,Sorland,67.67,12.69,41,56,40,3.36
252,Cooma,-36.24,149.13,48.2,100,90,6.93
253,Sao Jose da Coroa Grande,-8.9,-35.15,79.27,78,0,12.75
254,Mar del Plata,-46.43,-67.52,64.36,19,33,42.17
255,Ola,59.58,151.3,32.31,83,47,20
256,Grand-Santi,4.27,-54.38,77.65,80,64,3.42
257,San Juan,-31.54,-68.53,90.18,17,29,7.11
258,Ancud,-41.87,-73.83,53.6,76,75,14.99
259,Ojinaga,29.56,-104.41,75.2,22,1,4.7
260,Lasa,34.92,32.53,64.4,72,20,8.05
261,Katsuura,33.93,134.5,62.6,63,75,9.17
262,Novo Horizonte,-12.81,-42.17,72.77,45,32,6.71
263,Gashua,12.87,11.04,84.74,15,0,9.66
264,Yueyang,29.36,113.12,57.2,67,0,8.93
265,Nadvoitsy,63.89,34.27,27.93,91,87,8.88
266,Inhambane,-23.87,35.38,75.74,79,54,11.97
267,Kupang,-10.16,123.6,79.52,71,0,2.28
268,Adrar,27.87,-0.29,77,25,0,4.7
269,Loei,17.49,101.72,67.15,97,6,2.66
270,Wakkanai,45.41,141.67,44.01,65,100,14.36
271,Boralday,43.36,76.86,39.2,93,75,4.47
272,Isangel,-19.55,169.27,77,73,75,5.82
273,Maceio,-9.67,-35.74,78.8,74,20,13.87
274,Hede,60.45,15.49,30.99,92,100,3.36
275,Maragogi,-9.01,-35.22,79.27,78,0,12.75
276,Havre-Saint-Pierre,50.23,-63.6,35.6,93,90,3.36
277,Grand Gaube,-20.01,57.66,73.99,83,40,16.11
278,Haines Junction,60.75,-137.51,28.94,95,100,3.56
279,Hasaki,35.73,140.83,53.6,93,40,5.82
280,Varia,38.6,21.58,68,82,75,9.17
281,Touros,-5.2,-35.46,80.6,69,20,13.87
282,Jega,12.22,4.38,85.37,35,100,4.63
283,Fortuna,40.6,-124.16,64,55,20,8.05
284,Alice Springs,-23.7,133.88,62.6,27,0,3.36
285,Katobu,-4.94,122.53,71.85,93,58,0.87
286,Waipawa,-39.94,176.59,70,38,0,8.01
287,Madang,35.32,102.79,37.22,52,38,2.1
288,Cidreira,-30.17,-50.22,67.89,70,100,7.67
289,Loreto,-23.27,-57.32,100.29,29,34,5.55
290,Orlik,53.95,17.74,50,93,20,1.12
291,Unai,-16.36,-46.91,79.14,61,11,7.63
292,Nanortalik,60.14,-45.24,33.1,75,0,5.91
293,Watsa,3.04,29.53,66.72,96,100,1.68
294,Emerald,-23.53,148.16,73.4,78,40,5.82
295,Namatanai,-3.66,152.44,79.45,79,100,6.35
296,Ukiah,39.15,-123.21,80.01,20,0,4.43
297,Mayor Pablo Lagerenza,-19.93,-60.77,98.69,29,40,11.65
298,Two Hills,53.71,-111.75,30.97,67,98,10.92
299,Anaconda,46.13,-112.94,46.4,39,75,10.29
300,Carnarvon,-30.97,22.13,66.11,12,12,7.23
301,Zabol,31.03,61.49,62.6,63,0,9.17
302,Yeppoon,-23.13,150.74,73.4,78,52,5.82
303,Amapa,15.09,-87.97,82.4,74,40,6.93
304,Thessalon,46.26,-83.55,41,52,90,4.7
305,Christchurch,-43.53,172.64,82.99,46,65,4.7
306,Sulangan,11.14,123.72,81.36,78,2,6.98
307,Tual,-5.67,132.75,80.64,75,100,7.72
308,Grindavik,63.84,-22.43,37.4,74,100,5.82
309,Spartanburg,34.95,-81.93,61,28,0,4.59
310,Naryan-Mar,67.67,53.09,15.13,86,100,22.66
311,Kjollefjord,70.95,27.35,35.6,74,75,27.51
312,Gamboula,4.12,15.14,69.42,96,100,1.32
313,Derzhavinsk,51.1,66.31,29.23,95,100,24.09
314,Kattivakkam,13.22,80.32,82,94,40,9.44
315,Rio Grande,-32.03,-52.1,69.8,73,20,8.05
316,Oviedo,43.36,-5.84,66.99,72,75,12.75
317,Capim Grosso,-11.38,-40.01,83.91,22,0,6.69
318,Yongan,39.7,113.69,36.72,87,0,2.01
319,Klaksvik,62.23,-6.59,42.8,60,100,17.22
320,Petropavlovsk-Kamchatskiy,53.05,158.65,32,81,40,2.24
321,Bam,29.11,58.36,62.87,33,0,3.53
322,Nioro,13.79,-15.05,87.39,22,67,6.44
323,Hofn,64.25,-15.21,38.35,75,100,29.86
324,Ibotirama,-12.18,-43.22,83.03,39,26,2.37
325,Shakawe,-18.36,21.84,78.33,48,28,4.07
326,Marsa Matruh,31.35,27.25,68,68,0,8.19
327,Saint George,39.45,22.34,60.8,82,40,0.85
328,Yabelo,4.89,38.09,63.73,80,73,8.03
329,Maloyaroslavets,55.01,36.47,39.2,93,100,11.18
330,San Cristobal,14.68,-86.92,74.34,80,49,4.63
331,Yining,29.04,114.56,51.91,69,0,0.2
332,Evensk,61.92,159.24,26.4,81,100,9.28
333,Saint Lawrence,36.06,14.2,73.4,78,89,16.11
334,Zyryanka,65.73,150.89,18.84,84,100,10.42
335,Thiers,45.86,3.55,53.6,76,75,11.41
336,Koundara,12.49,-13.3,80.73,42,46,2.95
337,Salalah,17.01,54.1,80.6,88,40,3.36
338,Hami,42.84,93.51,47.97,31,100,0.56
339,Umm Kaddadah,13.6,26.69,82.15,14,0,11.68
340,Touba,14.86,-15.88,85.8,19,78,9.26
341,Chicama,-7.84,-79.15,67.55,70,3,8.86
342,Muli,28.08,109.56,53.74,72,0,5.21
343,Vanse,58.12,6.7,37.99,82,99,18.01
344,Iracoubo,5.48,-53.21,82.51,80,37,15.7
345,Mount Gambier,-37.83,140.78,50,93,75,8.05
346,Wasilla,61.58,-149.44,37.99,100,90,2.26
347,Mbandaka,0.05,18.26,75.2,74,59,1.05
348,Wrexham,53.05,-2.99,48,100,20,3.36
349,Barghat,22.03,79.74,68.32,78,0,4.16
350,Fowa,8.92,6.4,79.3,69,49,2.37
351,Anadyr,64.73,177.51,10.4,92,40,4.47
352,Buraydah,26.33,43.97,77,41,0,6.93
353,Morehead,38.18,-83.43,53.6,32,1,5.82
354,Hailar,49.2,119.7,23.94,73,2,9.04
355,Saint-Joseph,43.56,6.97,60.8,54,0,11.41
356,Salisbury,51.07,-1.8,52,87,20,12.75
357,Sagaing,21.88,95.98,74.44,85,10,1.59
358,Kifri,34.69,44.96,72.27,38,0,9.55
359,Ust-Nera,64.57,143.24,-8.36,100,100,2.68
360,Ararat,39.85,44.7,39.2,55,0,3.36
361,Angoche,-16.23,39.91,76.62,91,0,4.65
362,Wladyslawowo,54.79,18.4,50,93,20,1.12
363,Araouane,18.9,-3.53,83.12,16,95,10.71
364,Belen,34.66,-106.78,66,11,1,7.94
365,Daloa,6.88,-6.45,73.72,85,100,3.31
366,Lata,30.78,78.62,24.46,79,24,3.56
367,Bundaberg,-24.87,152.35,78.01,94,52,9.04
368,Port Macquarie,-31.43,152.91,71.01,100,10,4.7
369,Aksarka,66.56,67.8,1.22,95,0,7.78
370,Challans,46.85,-1.88,57.99,87,75,6.93
371,Carlyle,49.63,-102.27,35.01,75,90,11.41
372,Chipata,-13.64,32.65,73.29,52,33,5.59
373,Qaqortoq,60.72,-46.03,28.4,50,0,3.36
374,Rehoboth,-23.31,17.08,75.27,7,0,22.55
375,Waverly,37.04,-77.1,60.01,30,1,4.7
376,Tyssedal,60.12,6.56,45,65,76,5.01
377,Meiktila,20.88,95.86,73.62,85,0,1.97
378,Juba,57.82,26.93,44.6,100,90,6.93
379,Zhireken,52.82,117.29,23.63,86,100,6.2
380,Carutapera,-1.2,-46.02,81.93,77,10,19.1
381,Peniche,39.36,-9.38,63,93,75,5.82
382,Abha,18.22,42.5,64.4,82,4,1.03
383,Marechal Candido Rondon,-24.56,-54.06,85.84,48,100,8.21
384,Biak,-0.91,122.88,81.12,73,100,9.98
385,Duluth,46.77,-92.13,37.99,59,90,4.7
386,Tahe,52.34,124.71,20.84,82,3,2.82
387,Otane,-39.89,176.62,70,38,0,8.01
388,Yokadouma,3.52,15.05,70.66,94,100,1.68
389,Bonavista,48.65,-53.11,44.01,84,100,20
390,Lahij,13.06,44.88,81.84,68,88,2.75
391,La Macarena,2.18,-73.79,84.76,66,67,5.68
392,Honolulu,21.3,-157.86,82.99,69,75,9.17
393,Vila Franca do Campo,37.72,-25.43,66.2,77,75,5.82
394,Hay River,60.82,-115.79,19.4,85,75,13.87
395,Binzhou,37.38,117.96,45,81,0,4.72
396,Shache,38.42,77.24,44.71,36,70,2.57
397,Norsup,-16.07,167.38,73.4,94,75,2.24
398,Nadym,65.53,72.51,2.35,91,0,6.17
399,Pochutla,15.74,-96.47,89.01,70,40,3.36
400,Makakilo City,21.35,-158.09,82,69,75,8.05
401,Contai,21.78,87.75,73.76,76,0,5.37
402,Gazojak,41.19,61.4,35.73,60,0,11.59
403,Waingapu,-9.65,120.26,80.8,75,0,10.83
404,Longview,32.5,-94.74,68,36,1,5.82
405,Pemba,-12.97,40.52,78.8,83,40,3.36
406,Verkhoyansk,67.55,133.39,3.83,80,68,9.55
407,Deputatskiy,69.3,139.9,-5.44,99,99,1.14
408,Jiuquan,39.73,98.49,35.11,38,61,0.58
409,Kaeo,-35.1,173.78,75,59,98,1.97
410,Springfield,42.1,-72.59,53.6,32,75,6.93
411,Mae Hong Son,19.3,97.96,64.94,91,0,2.62
412,Calbuco,-41.77,-73.13,53.6,93,90,10.29
413,Middle Island,40.88,-72.94,54,46,1,4.7
414,Ayan,38.23,44.7,32.09,71,0,0.89
415,Nishihara,35.74,139.53,57.99,82,40,11.41
416,Bontang,0.12,117.47,77.85,89,47,7.99
417,Aykhal,65.95,111.51,6.8,92,90,4.47
418,Kiunga,-6.12,141.3,72,98,96,1.48
419,Kungurtug,50.6,97.53,17.06,74,45,1.77
420,Turner,44.84,-122.95,61,54,1,5.82
421,Harper,30.3,-99.24,71.6,34,1,12.75
422,Tigil,57.8,158.67,33.26,75,35,14.07
423,Geisenheim,49.99,7.97,54,81,90,8.05
424,Matagami,9.67,8.4,71.55,76,23,2.04
425,Cururupu,-1.82,-44.87,80.2,72,82,4.14
426,Krasnoborsk,61.56,45.93,31.89,95,100,10.4
427,Glenwood Springs,39.55,-107.33,54,33,40,4.45
428,Palana,59.08,159.95,29.25,81,77,4.05
429,Gizo,31.8,34.94,70,77,0,3.36
430,Zavolzhye,56.64,43.39,33.8,86,90,13.42
431,Lazaro Cardenas,28.39,-105.62,77,35,75,4.7
432,Lethem,3.38,-59.8,95.41,35,16,5.77
433,Manglisi,41.7,44.38,42.8,81,90,2.19
434,Barcelona,41.38,2.18,64.99,34,70,18.34
435,Cherskiy,68.75,161.3,20.53,81,100,17.74
436,Zhezkazgan,47.8,67.71,48.16,87,100,12.66
437,Markala,13.69,-6.07,86.94,27,77,4.97
438,Southbridge,42.08,-72.03,53.01,45,75,10.29
439,Byron Bay,-28.65,153.62,73.4,78,75,10.29
440,Tayshet,55.94,98.01,22.06,69,27,4.72
441,Lompoc,34.64,-120.46,84.99,7,1,8.05
442,Anloga,5.79,0.9,77,88,20,3.36
443,Ambulu,-8.35,113.61,78.98,80,27,8.52
444,Dubbo,-32.25,148.6,59,93,90,5.82
445,Rocha,-34.48,-54.34,61.12,84,44,8.21
446,Taikang,46.86,124.44,28.53,46,0,7.18
447,Mitsamiouli,-11.38,43.28,80.6,78,40,2.24
448,Ketchikan,55.34,-131.65,51.8,93,90,9.17
449,Mount Isa,-20.73,139.49,78.8,54,90,10.29
450,Cabra,37.47,-4.43,64.4,59,62,3.36
451,Eirunepe,-6.66,-69.87,75.65,91,100,1.05
452,Preobrazheniye,42.9,133.91,27.77,45,0,7.31
453,Ostrovnoy,68.05,39.51,25.09,93,100,12.77
454,Buin,-33.73,-70.74,78.8,31,0,8.05
455,Bafq,31.6,55.4,52.29,34,0,2.64
456,Quanzhou,24.9,118.59,71.6,56,100,13.42
457,Canandaigua,42.88,-77.28,44.01,52,90,6.93
458,Mocuba,-16.84,36.99,71.29,82,0,3.11
459,Champasak,14.89,105.88,67.35,95,72,2.39
460,Kidodi,-7.6,37,71.17,78,2,1.52
461,Chara,39.42,22.43,60.8,82,40,0.85
462,Pangody,65.85,74.49,0.43,92,0,8.16
463,Bima,-8.45,118.73,71.28,95,76,1.7
464,Kasempa,-13.46,25.83,74.34,37,49,5.06
465,Maldonado,-34.91,-54.96,64.4,72,20,10.29
466,Paracuru,-3.41,-39.03,82.4,69,40,13.87
467,Hnaberd,40.64,44.14,39.2,86,0,2.24
468,Salinopolis,-0.61,-47.36,81.88,80,3,17.74
469,Jalu,29.03,21.55,68.76,46,0,8.16
470,Belaya Gora,68.54,146.19,-4.63,98,80,4.45
471,Bosaso,11.28,49.18,83.71,76,86,21.23
472,Vestmannaeyjar,63.44,-20.27,39.09,64,100,6.98
473,Lima,-12.06,-77.04,67.62,67,2,8.93
474,Ust-Ilimsk,57.96,102.73,18.63,67,100,10.13
475,Businga,3.34,20.89,71.37,95,34,2.68
476,Selma,32.41,-87.02,66.2,22,3,4.7
477,Chimore,-16.98,-65.13,79.07,85,100,4.52
478,Tomatlan,19.93,-105.25,88.84,51,0,6.08
479,Yarada,17.65,83.27,81.97,67,0,3.85
480,Ngunguru,-35.62,174.5,64.44,67,98,4.03
481,Fuerte Olimpo,-21.04,-57.87,101.43,25,34,5.08
482,Mirnyy,56.57,36.46,43.84,89,100,13.29
483,Ewo,-0.88,14.81,72.1,87,57,1.77
484,Maumere,-8.63,122.22,74.95,80,26,5.3
485,Okhotsk,59.36,143.24,25.43,77,90,12.84
